Confirmed,Country/Region,Deaths,Date,Province/State,Recovered,Epidemy,Lat,Long
1.0,Macao,0.0,2003-06-27,,1.0,SARS,22.1987,113.5439
681.0,Taiwan,84.0,2003-06-27,,492.0,SARS,23.69781,120.96051499999999
1.0,Colombia,0.0,2003-06-27,,1.0,SARS,4.570868,-74.297333
1.0,Finland,0.0,2003-06-27,,1.0,SARS,61.92411,25.748151
7.0,France,0.0,2003-06-27,,6.0,SARS,46.227638,2.213749
10.0,Germany,0.0,2003-06-27,,9.0,SARS,51.165690999999995,10.451526
3.0,India,0.0,2003-06-27,,3.0,SARS,20.593684,78.96288
2.0,Indonesia,0.0,2003-06-27,,2.0,SARS,-0.789275,113.921327
5.0,Italy,0.0,2003-06-27,,5.0,SARS,41.87194,12.56738
1.0,Kuwait,0.0,2003-06-27,,1.0,SARS,29.311659999999996,47.481766
5.0,Malaysia,2.0,2003-06-27,,3.0,SARS,4.210483999999999,101.97576600000001
